path	area	role	lines	native_destination	dest_method	dest_confidence
tt_4.8.4/Launcher/Shared/Base.h	Launcher	installer/deployment	44	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/BaseClasses.cpp	Launcher	installer/deployment	77	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/BaseClasses.h	Launcher	installer/deployment	62	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/Basetypes.h	Launcher	installer/deployment	33	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/ChunkClasses.cpp	Launcher	installer/deployment	189	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/ChunkClasses.h	Launcher	installer/deployment	61	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/Debug.cpp	Launcher	installer/deployment	228	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/Debug.h	Launcher	installer/deployment	11	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/FileStream.cpp	Launcher	installer/deployment	208	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/FileStream.h	Launcher	installer/deployment	40	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/HTMLWrite.cpp	Launcher	installer/deployment	562	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/HTMLWrite.h	Launcher	installer/deployment	46	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/Hash.cpp	Launcher	installer/deployment	131	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/Hash.h	Launcher	installer/deployment	11	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/Lists.h	Launcher	installer/deployment	1300	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/Memory.cpp	Launcher	installer/deployment	259	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/Memory.h	Launcher	installer/deployment	370	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/MemoryStream.cpp	Launcher	installer/deployment	400	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/MemoryStream.h	Launcher	installer/deployment	47	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/MultiCache.cpp	Launcher	installer/deployment	65	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/MultiCache.h	Launcher	installer/deployment	30	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/StdLib.cpp	Launcher	installer/deployment	1301	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/StdLib.h	Launcher	installer/deployment	122	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/zconf.h	Launcher	installer/deployment	332	Code/Launcher	area-rule	high
tt_4.8.4/Launcher/Shared/zlib.h	Launcher	installer/deployment	1357	Code/Launcher	area-rule	high
