class	method	arity	virtual	openw3d_class	source_kind	source_file	source_line	address	openw3d_has	openw3d_owners	declaration
ConstructionYardGameObj	Get_Factory	0	0	absent	declaration-only				owned elsewhere	AccessiblePhysClass,AccessiblePhysDefClass,AirStripGameObj,AirStripGameObjDef,AmmoDefinitionClass,AttackActionCodeClass	const PersistFactoryClass & Get_Factory (void) const;
ConstructionYardGameObj	Init	0	1	absent	declaration-only				owned elsewhere	AABoxClass,AccessiblePhysClass,ActiveCategoryStackClass,AirStripGameObj,AnimCollisionManagerClass,ArgvClass	virtual void Init( void );
ConstructionYardGameObj	Init	1	0	absent	declaration-only				owned elsewhere	AABoxClass,AccessiblePhysClass,ActiveCategoryStackClass,AirStripGameObj,AnimCollisionManagerClass,ArgvClass	void Init (const ConstructionYardGameObjDef & definition);
ConstructionYardGameObj	Load	1	0	absent	declaration-only				owned elsewhere	AABTreeCullSystemClass,AABTreeSoundCullClass,AccessiblePhysClass,AccessiblePhysDefClass,ActionClass,ActiveConversationClass	bool Load (ChunkLoadClass &cload);
ConstructionYardGameObj	Load_Variables	1	0	absent	declaration-only				owned elsewhere	AccessiblePhysClass,AccessiblePhysDefClass,ActiveConversationClass,AirStripGameObj,AirStripGameObjDef,AudibleSoundDefinitionClass	void Load_Variables (ChunkLoadClass &cload);
ConstructionYardGameObj	Save	1	0	absent	declaration-only				owned elsewhere	AABTreeCullSystemClass,AABTreeSoundCullClass,AccessiblePhysClass,AccessiblePhysDefClass,ActionClass,ActiveConversationClass	bool Save (ChunkSaveClass &csave);
ConstructionYardGameObj	Think	0	0	absent	declaration-only				owned elsewhere	ActiveConversationClass,AirStripGameObj,AutoRestartClass,BaseControllerClass,BaseGameObj,BeaconGameObj	void Think (void);
ConstructionYardGameObj	~ConstructionYardGameObj	0	0	absent	declaration-only				nowhere		~ConstructionYardGameObj (void);
ExtendedNetworkObject	setDirtyBitsForClient	1	1	absent	inline-header	tt_4.8.4/scripts/ExtendedNetworkObject.h	42				virtual void setDirtyBitsForClient(const int clientId) { return BaseClass::setDirtyBitsForClient(clientId); }
HUDSurfaceClass	Get_Aspect_Ratio	0	0	absent	inline-header	tt_4.8.4/scripts/HUDSurfaceClass.h	55				float Get_Aspect_Ratio() const { return boundary.Height() > WWMATH_EPSILON ? boundary.Width() / boundary.Height() : 0; }
HUDSurfaceClass	Get_Boundary_Area	0	0	absent	inline-header	tt_4.8.4/scripts/HUDSurfaceClass.h	54				const RectClass& Get_Boundary_Area() const { return boundary; }
HUDSurfaceClass	Get_Client_ID	0	0	absent	inline-header	tt_4.8.4/scripts/HUDSurfaceClass.h	51				int Get_Client_ID() const { return clientId; }
HUDSurfaceClass	Get_Surface_ID	0	0	absent	inline-header	tt_4.8.4/scripts/HUDSurfaceClass.h	50				int Get_Surface_ID() const { return id; }
HUDSurfaceClass	Get_Surface_Texture	0	0	absent	inline-header	tt_4.8.4/scripts/HUDSurfaceClass.h	56				const StringClass& Get_Surface_Texture() const { return surfaceTexture; }
HUDSurfaceClass	Is_Dirty	0	0	absent	inline-header	tt_4.8.4/scripts/HUDSurfaceClass.h	52				bool Is_Dirty() const { return isDirty; }
HUDSurfaceClass	Set_Dirty	1	0	absent	inline-header	tt_4.8.4/scripts/HUDSurfaceClass.h	53				void Set_Dirty(bool dirty) { isDirty = dirty; }
HUDSurfaceClass	Set_Surface_Texture	1	0	absent	inline-header	tt_4.8.4/scripts/HUDSurfaceClass.h	57				void Set_Surface_Texture(const char* texture) { surfaceTexture = texture; Set_Dirty(true); }
HUDSurfaceClass	Add_Element	1	1	absent	declaration-only				nowhere		virtual void Add_Element(HUDElementClass* element);
HUDSurfaceClass	Clear_Elements	0	1	absent	declaration-only				nowhere		virtual void Clear_Elements();
